src;dest;price;leave;return
BSB;AKL;4106.68;09/02/2014 02:55;04/03/2014 01:15
GYN;AKL;4801.42;07/02/2014 18:39;05/03/2014 09:53
SAO;AKL;3891.87;08/02/2014 07:00;03/03/2014 19:45
BSB;BCN;2669.23;08/02/2014 18:45;04/03/2014 16:15
GYN;BCN;2664.66;08/02/2014 10:35;04/03/2014 19:19
SAO;BCN;2349.29;09/02/2014 22:10;04/03/2014 17:10
BSB;BEG;3341.11;08/02/2014 18:00;03/03/2014 12:07
GYN;BEG;3334.25;08/02/2014 12:30;05/03/2014 16:59
SAO;BEG;3092.01;08/02/2014 20:20;04/03/2014 06:55
BSB;BOG;1270.63;08/02/2014 05:00;03/03/2014 23:35
GYN;BOG;1469.45;07/02/2014 19:49;04/03/2014 09:53
SAO;BOG;1110.66;08/02/2014 09:45;04/03/2014 05:50
GYN;BSB;361.08;07/02/2014 19:30;03/03/2014 18:03
BSB;BUD;2797.21;08/02/2014 09:22;03/03/2014 12:07
GYN;BUD;2797.21;08/02/2014 10:35;05/03/2014 16:59
SAO;BUD;2529.83;08/02/2014 17:20;04/03/2014 06:45
BSB;COR;939.26;09/02/2014 15:22;01/03/2014 08:26
GYN;COR;1156.36;08/02/2014 11:07;02/03/2014 09:57
SAO;COR;866.13;08/02/2014 14:20;04/03/2014 17:40
BSB;CPT;3462.23;08/02/2014 21:16;03/03/2014 20:24
GYN;CPT;3455.37;08/02/2014 13:45;05/03/2014 23:48
SAO;CPT;2982.32;08/02/2014 18:30;04/03/2014 23:59
BSB;DUB;3032.59;08/02/2014 11:20;03/03/2014 23:35
GYN;DUB;3030.31;07/02/2014 15:50;04/03/2014 23:48
SAO;DUB;2740.07;08/02/2014 16:55;01/03/2014 07:35
BSB;FLO;2904.62;09/02/2014 22:56;04/03/2014 20:21
GYN;FLO;3076.01;07/02/2014 19:30;04/03/2014 09:53
SAO;FLO;3149.14;08/02/2014 00:10;04/03/2014 05:40
BSB;KRK;2760.64;08/02/2014 12:43;03/03/2014 12:07
GYN;KRK;2756.07;08/02/2014 10:35;03/03/2014 16:59
SAO;KRK;2488.69;08/02/2014 17:20;03/03/2014 06:45
BSB;LIM;1286.62;08/02/2014 18:18;03/03/2014 09:12
GYN;LIM;1592.85;07/02/2014 19:49;05/03/2014 13:04
SAO;LIM;1096.94;09/02/2014 07:20;03/03/2014 23:30
BSB;LIS;2618.95;08/02/2014 18:45;04/03/2014 16:15
GYN;LIS;2657.80;08/02/2014 13:45;05/03/2014 10:20
SAO;LIS;2337.86;08/02/2014 16:55;04/03/2014 19:10
BSB;LON;2950.32;08/02/2014 19:37;03/03/2014 11:01
GYN;LON;3098.87;08/02/2014 10:35;05/03/2014 16:59
SAO;LON;2694.37;08/02/2014 16:55;04/03/2014 19:10
BSB;MEX;1995.07;09/02/2014 08:01;03/03/2014 08:26
GYN;MEX;1990.50;07/02/2014 19:49;04/03/2014 13:04
SAO;MEX;2088.76;08/02/2014 07:20;04/03/2014 04:55
BSB;MIA;1540.29;08/02/2014 12:36;01/03/2014 15:31
GYN;MIA;2230.45;08/02/2014 19:00;05/03/2014 11:26
SAO;MIA;2369.86;09/02/2014 17:45;03/03/2014 07:40
BSB;MUC;2806.35;09/02/2014 13:37;03/03/2014 12:07
GYN;MUC;3044.02;07/02/2014 18:39;05/03/2014 10:20
SAO;MUC;2493.26;08/02/2014 23:15;04/03/2014 17:10
BSB;NYC;2445.27;08/02/2014 11:52;01/03/2014 20:24
GYN;NYC;2721.79;07/02/2014 18:39;04/03/2014 16:59
SAO;NYC;2267.02;08/02/2014 09:45;04/03/2014 23:30
BSB;ORL;2189.32;08/02/2014 23:52;04/03/2014 07:42
GYN;ORL;2230.45;08/02/2014 19:00;05/03/2014 11:26
SAO;ORL;2639.52;08/02/2014 09:00;04/03/2014 04:45
BSB;PAR;2708.08;08/02/2014 19:37;03/03/2014 08:26
GYN;PAR;2710.37;07/02/2014 19:49;03/03/2014 09:57
SAO;PAR;2388.14;08/02/2014 23:15;04/03/2014 17:10
BSB;PRG;2872.62;08/02/2014 11:20;02/03/2014 16:34
GYN;PRG;2868.05;08/02/2014 15:50;05/03/2014 19:19
SAO;PRG;2500.12;08/02/2014 21:40;04/03/2014 07:35
BSB;ROM;2687.51;08/02/2014 18:45;03/03/2014 16:15
GYN;ROM;2689.80;07/02/2014 19:49;03/03/2014 09:57
SAO;ROM;2369.86;08/02/2014 23:15;01/03/2014 17:10
GYN;SAO;596.46;08/02/2014 18:39;04/03/2014 13:04
BSB;SCL;1307.19;08/02/2014 10:04;02/03/2014 21:23
GYN;SCL;1352.90;08/02/2014 11:07;01/03/2014 18:03
SAO;SCL;1062.66;08/02/2014 14:00;03/03/2014 21:10
BSB;SFO;2495.55;09/02/2014 22:56;04/03/2014 20:10
GYN;SFO;2666.95;07/02/2014 21:09;05/03/2014 11:26
SAO;SFO;2932.04;08/02/2014 05:10;28/02/2014 15:40
BSB;SYD;3784.46;09/02/2014 02:55;04/03/2014 01:15
GYN;SYD;4335.21;08/02/2014 19:49;05/03/2014 13:04
SAO;SYD;3450.80;09/02/2014 02:30;04/03/2014 23:59
BSB;VIE;2790.35;09/02/2014 13:37;03/03/2014 12:07
GYN;VIE;2788.07;08/02/2014 10:35;05/03/2014 16:59
SAO;VIE;2484.12;08/02/2014 16:55;04/03/2014 07:35
BSB;YMQ;2698.94;09/02/2014 15:22;02/03/2014 21:00
GYN;YMQ;2694.37;07/02/2014 18:39;05/03/2014 16:59
SAO;YMQ;2564.11;08/02/2014 22:30;04/03/2014 11:10
BSB;YYZ;2406.42;09/02/2014 03:30;04/03/2014 00:04
GYN;YYZ;2623.52;08/02/2014 15:50;05/03/2014 19:38
SAO;YYZ;2406.42;09/02/2014 13:15;04/03/2014 00:45
BSB;ZRH;2708.08;09/02/2014 13:37;03/03/2014 12:07
GYN;ZRH;2806.35;08/02/2014 10:35;04/03/2014 18:55
SAO;ZRH;2392.71;08/02/2014 23:15;01/03/2014 17:10
