src;dest;price;leave;return
BSB;AKL;4089.73;09/02/2014 01:55;04/03/2014 01:15
GYN;AKL;4765.29;07/02/2014 17:40;05/03/2014 09:43
SAO;AKL;3875.92;08/02/2014 06:00;03/03/2014 19:45
BSB;BCN;2652.18;09/02/2014 20:16;03/03/2014 08:20
GYN;BCN;2645.36;07/02/2014 18:49;03/03/2014 09:57
SAO;BCN;2333.74;08/02/2014 00:25;02/03/2014 22:25
BSB;BEG;3320.92;08/02/2014 08:22;03/03/2014 14:17
GYN;BEG;3320.92;08/02/2014 12:45;05/03/2014 16:59
SAO;BEG;3077.53;08/02/2014 19:20;04/03/2014 06:55
BSB;BOG;1287.42;08/02/2014 11:43;03/03/2014 23:35
GYN;BOG;1462.57;07/02/2014 18:49;04/03/2014 09:43
SAO;BOG;1128.20;08/02/2014 08:45;03/03/2014 23:30
GYN;BSB;359.39;07/02/2014 18:30;03/03/2014 18:03
BSB;BUD;2786.38;08/02/2014 08:22;03/03/2014 12:42
GYN;BUD;2784.11;08/02/2014 09:35;05/03/2014 16:59
SAO;BUD;2517.98;08/02/2014 16:20;04/03/2014 06:45
BSB;COR;937.14;08/02/2014 04:00;03/03/2014 23:35
GYN;COR;1150.95;08/02/2014 10:07;02/03/2014 09:57
SAO;COR;862.07;08/02/2014 07:35;04/03/2014 17:40
BSB;CPT;3450.57;08/02/2014 20:16;03/03/2014 20:24
GYN;CPT;3443.74;08/02/2014 12:45;05/03/2014 23:48
SAO;CPT;2972.90;08/02/2014 17:30;04/03/2014 23:59
BSB;DUB;3020.67;08/02/2014 10:20;03/03/2014 23:35
GYN;DUB;3018.39;08/02/2014 14:50;05/03/2014 23:48
SAO;DUB;2879.64;08/02/2014 13:00;01/03/2014 07:35
BSB;FLO;2959.25;09/02/2014 21:56;04/03/2014 20:21
GYN;FLO;3129.85;07/02/2014 18:30;04/03/2014 09:43
SAO;FLO;3252.68;09/02/2014 00:20;04/03/2014 05:40
BSB;KRK;2749.99;08/02/2014 11:43;03/03/2014 12:07
GYN;KRK;2743.17;08/02/2014 09:35;03/03/2014 16:59
SAO;KRK;2477.04;08/02/2014 16:20;03/03/2014 06:45
BSB;LIM;1280.60;08/02/2014 17:18;03/03/2014 12:07
GYN;LIM;1585.40;07/02/2014 18:49;05/03/2014 13:04
SAO;LIM;1114.55;08/02/2014 08:45;04/03/2014 04:55
BSB;LIS;2606.69;08/02/2014 17:45;04/03/2014 16:15
GYN;LIS;2645.36;08/02/2014 12:45;05/03/2014 10:20
SAO;LIS;2326.92;09/02/2014 15:55;04/03/2014 19:10
BSB;LON;2941.06;08/02/2014 18:37;03/03/2014 11:01
GYN;LON;3184.44;07/02/2014 17:40;05/03/2014 10:20
SAO;LON;2690.85;08/02/2014 22:15;04/03/2014 17:10
BSB;MEX;1985.73;09/02/2014 07:01;03/03/2014 08:26
GYN;MEX;1981.18;07/02/2014 17:40;05/03/2014 13:04
SAO;MEX;2078.98;08/02/2014 06:20;04/03/2014 04:55
BSB;MIA;1555.83;08/02/2014 11:43;02/03/2014 15:31
GYN;MIA;2220.01;08/02/2014 18:00;05/03/2014 11:26
SAO;MIA;2545.28;08/02/2014 08:45;04/03/2014 23:30
BSB;MUC;2795.48;08/02/2014 09:04;03/03/2014 12:07
GYN;MUC;3145.77;08/02/2014 13:45;05/03/2014 10:20
SAO;MUC;2481.59;08/02/2014 22:15;04/03/2014 17:10
BSB;NYC;2690.85;08/02/2014 02:30;04/03/2014 00:04
GYN;NYC;2709.05;07/02/2014 17:39;04/03/2014 16:59
SAO;NYC;2256.40;09/02/2014 08:45;04/03/2014 23:30
BSB;ORL;2179.07;08/02/2014 22:52;04/03/2014 07:42
GYN;ORL;2220.01;08/02/2014 18:00;05/03/2014 11:26
SAO;ORL;2627.16;08/02/2014 08:00;04/03/2014 04:45
BSB;PAR;2695.40;08/02/2014 18:37;03/03/2014 11:01
GYN;PAR;2697.68;07/02/2014 18:49;03/03/2014 09:57
SAO;PAR;2376.96;08/02/2014 22:15;04/03/2014 17:10
BSB;PRG;2859.17;08/02/2014 10:20;02/03/2014 16:34
GYN;PRG;2856.90;08/02/2014 14:50;05/03/2014 16:59
SAO;PRG;2490.69;09/02/2014 15:55;04/03/2014 07:35
BSB;ROM;2674.93;08/02/2014 18:37;03/03/2014 11:01
GYN;ROM;2679.48;07/02/2014 18:49;03/03/2014 09:57
SAO;ROM;2358.76;08/02/2014 22:15;04/03/2014 17:10
GYN;SAO;591.40;08/02/2014 17:40;03/03/2014 18:03
BSB;SCL;1323.82;08/02/2014 07:03;02/03/2014 21:54
GYN;SCL;1369.31;08/02/2014 10:07;01/03/2014 18:03
SAO;SCL;1080.43;08/02/2014 19:40;03/03/2014 21:10
BSB;SFO;2552.10;09/02/2014 21:56;28/02/2014 20:10
GYN;SFO;2654.46;07/02/2014 17:27;05/03/2014 11:26
SAO;SFO;2952.43;08/02/2014 08:00;04/03/2014 04:45
